date,home_team,away_team,tournament,neutral,is_friendly,home_elo_before,away_elo_before,elo_diff,home_win_rate_5,home_win_rate_10,home_goals_scored_avg_5,home_goals_scored_avg_10,home_goals_conceded_avg_5,home_goals_conceded_avg_10,home_goal_diff_avg_5,home_goal_diff_avg_10,away_win_rate_5,away_win_rate_10,away_goals_scored_avg_5,away_goals_scored_avg_10,away_goals_conceded_avg_5,away_goals_conceded_avg_10,away_goal_diff_avg_5,away_goal_diff_avg_10,home_advantage,h2h_home_win_rate,h2h_avg_goal_diff,h2h_num_meetings,home_streak,away_streak,home_days_since_last,away_days_since_last,home_squad_value,away_squad_value,squad_value_diff,home_avg_age,away_avg_age,home_sentiment_avg,away_sentiment_avg,sentiment_diff,home_sentiment_volume,away_sentiment_volume,outcome
1990-01-12,Algeria,Mali,Friendly,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.987716009125943,16.18032792099205,3.8073880881338944,26.35,25.02,0.18643333333333334,0.26980000000000004,-0.0833666666666667,3,2,1
1990-01-14,Algeria,Cameroon,Friendly,1,1,1506.4,1500.0,6.400000000000091,1.0,1.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,2.0,30.0,19.987716009125943,19.93833459770359,0.04938141142235253,26.35,26.47,-0.04404999999999999,0.0,-0.04404999999999999,2,0,1
1990-01-17,Greece,Belgium,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.687773688989772,20.701183900698055,-1.0134102117082833,26.08,26.14,0.0,0.0,0.0,0,0,1
1990-01-17,Mexico,Argentina,Friendly,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.943646934484104,20.99046401382647,-1.0468170793423681,25.22,24.94,0.0,0.0,0.0,0,0,1
1990-01-20,Malawi,Tanzania,Friendly,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,16.046694381608106,18.089814263678164,-2.0431198820700587,26.16,25.16,0.0,0.0,0.0,0,0,0
1990-01-20,Eswatini,Botswana,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,18.07859616958559,18.068816495753342,0.009779673832248648,24.7,25.63,0.0,0.0,0.0,0,0,1
1990-01-21,Botswana,Malawi,Friendly,1,1,1493.6,1500.0,-6.400000000000091,0.0,0.0,1.0,1.0,3.0,3.0,-2.0,-2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,1.0,1.0,18.068816495753342,16.046694381608106,2.022122114145237,25.63,26.16,0.0,0.0,0.0,0,0,0
1990-01-21,Kuwait,France,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,16.36238719866352,21.293900210407436,-4.931513011743917,26.48,25.48,0.0,0.0,0.0,0,0,-1
1990-01-21,Eswatini,Tanzania,Friendly,0,1,1506.4,1500.0,6.400000000000091,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1.0,1.0,18.07859616958559,18.089814263678164,-0.011218094092573239,24.7,25.16,0.0,0.0,0.0,0,0,-1
1990-01-23,Botswana,Tanzania,Friendly,1,1,1493.7178790241012,1506.5178790241014,-12.800000000000182,0.0,0.0,1.5,1.5,2.5,2.5,-1.0,-1.0,0.5,0.5,1.5,1.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0,0,1,2.0,2.0,18.068816495753342,18.089814263678164,-0.020997767924821886,25.63,25.16,0.0,0.0,0.0,0,0,0
